doctor_id,first_name,last_name,specialization,appointment_date,appointment_time,appointment_duration,appointment_type,availability_status
DOC0001,Timothy,Singleton,Cardiologist,2025-08-13,16:00,45,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-13,16:45,45,Stress Test,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-18,09:00,90,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-18,10:30,45,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-18,11:15,90,Initial Consultation,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-18,12:45,90,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-18,14:15,90,Follow-up,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-18,15:45,60,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-18,16:45,60,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-19,09:00,90,Follow-up,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-19,10:30,90,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-19,12:00,90,Follow-up,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-19,15:00,45,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-19,15:45,45,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-20,09:00,90,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-20,10:30,60,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-20,11:30,90,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-20,13:00,45,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-20,13:45,60,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-20,14:45,45,Stress Test,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-20,15:30,60,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-20,16:30,45,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-21,09:00,45,Follow-up,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-21,09:45,90,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-21,11:15,90,Follow-up,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-21,12:45,60,Stress Test,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-21,13:45,45,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-21,14:30,45,Initial Consultation,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-21,15:15,60,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-21,16:15,45,Stress Test,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-25,09:45,90,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-25,11:15,45,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-25,12:00,45,Initial Consultation,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-25,12:45,90,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-25,14:15,45,ECG Review,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-25,15:00,60,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-25,16:00,45,ECG Review,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-25,16:45,60,Stress Test,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-28,09:00,60,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-28,10:00,90,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-28,11:30,60,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-28,12:30,60,Initial Consultation,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-28,13:30,60,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-28,14:30,90,Stress Test,Available
DOC0001,Timothy,Singleton,Cardiologist,2025-08-28,16:00,60,Follow-up,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-29,10:00,90,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-29,11:30,90,ECG Review,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-29,13:00,90,ECG Review,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-29,14:30,60,ECG Review,Cancelled
DOC0001,Timothy,Singleton,Cardiologist,2025-08-29,15:30,60,Stress Test,Booked
DOC0001,Timothy,Singleton,Cardiologist,2025-08-29,16:30,45,Initial Consultation,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-04,09:00,90,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-04,10:30,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-04,11:30,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-04,12:30,90,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-04,14:00,90,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-06,09:00,90,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-06,10:30,90,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-06,12:00,90,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-06,13:30,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-06,14:30,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-06,16:30,90,Initial Evaluation,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-07,09:00,60,Therapy Session,Cancelled
DOC0002,Lori,Hartman,Psychiatrist,2025-08-07,10:00,90,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-07,11:30,90,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-07,13:00,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-07,14:00,60,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-07,15:00,90,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-07,16:30,90,Initial Evaluation,Cancelled
DOC0002,Lori,Hartman,Psychiatrist,2025-08-08,09:00,90,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-08,10:30,90,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-08,12:00,60,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-08,13:00,90,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-08,14:30,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-08,15:30,90,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-11,09:00,90,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-11,10:30,90,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-11,12:00,60,Initial Evaluation,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-11,13:00,90,Initial Evaluation,Cancelled
DOC0002,Lori,Hartman,Psychiatrist,2025-08-11,14:30,60,Initial Evaluation,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-11,15:30,90,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-13,09:00,90,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-13,12:00,90,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-13,13:30,90,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-13,15:00,60,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-13,16:00,60,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-14,09:00,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-14,10:00,60,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-14,11:00,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-14,12:00,90,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-14,13:30,90,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-14,15:00,60,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-14,16:00,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-15,09:00,60,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-15,10:00,90,Therapy Session,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-15,11:30,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-15,12:30,90,Initial Evaluation,Cancelled
DOC0002,Lori,Hartman,Psychiatrist,2025-08-15,14:00,60,Therapy Session,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-15,15:00,90,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-15,16:30,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-18,09:00,60,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-18,10:00,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-18,11:00,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-18,12:00,90,Therapy Session,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-18,13:30,90,Therapy Session,Cancelled
DOC0002,Lori,Hartman,Psychiatrist,2025-08-18,15:00,90,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-18,16:30,90,Therapy Session,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-19,09:00,60,Therapy Session,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-19,10:00,60,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-19,11:00,60,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-19,12:00,60,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-19,13:00,90,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-19,14:30,60,Initial Evaluation,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-19,15:30,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-19,16:30,60,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-20,09:00,60,Medication Review,Cancelled
DOC0002,Lori,Hartman,Psychiatrist,2025-08-20,10:00,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-20,11:00,90,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-20,12:30,90,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-20,14:00,90,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-20,15:30,90,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-22,09:00,90,Therapy Session,Cancelled
DOC0002,Lori,Hartman,Psychiatrist,2025-08-22,10:30,90,Initial Evaluation,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-22,12:00,90,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-22,13:30,60,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-22,14:30,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-22,15:30,90,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-25,09:00,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-25,10:00,60,Initial Evaluation,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-25,11:00,90,Initial Evaluation,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-25,12:30,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-25,13:30,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-25,14:30,90,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-25,16:00,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-26,09:00,60,Initial Evaluation,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-26,10:00,90,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-26,11:30,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-26,12:30,90,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-26,14:00,90,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-26,15:30,60,Medication Review,Available
DOC0002,Lori,Hartman,Psychiatrist,2025-08-26,16:30,60,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-27,09:00,90,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-27,10:30,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-27,11:30,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-27,13:30,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-27,14:30,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-27,15:30,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-27,16:30,90,Medication Review,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-28,09:00,90,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-28,10:30,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-28,11:30,90,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-28,13:00,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-28,14:00,60,Initial Evaluation,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-28,15:00,60,Therapy Session,Booked
DOC0002,Lori,Hartman,Psychiatrist,2025-08-28,16:00,60,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-04,09:00,60,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-04,10:00,90,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-04,11:30,90,Medication Review,Available
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-04,13:00,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-04,14:30,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-04,15:30,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-05,10:30,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-05,11:30,60,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-05,12:30,90,Medication Review,Available
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-05,14:00,90,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-05,15:30,90,Medication Review,Available
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-06,09:00,90,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-06,10:30,90,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-06,12:00,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-06,13:00,90,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-06,14:30,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-06,16:00,60,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-07,09:00,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-07,10:30,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-07,13:30,60,Medication Review,Cancelled
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-07,15:30,60,Therapy Session,Available
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-07,16:30,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-11,10:00,90,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-11,11:30,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-11,12:30,60,Initial Evaluation,Cancelled
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-11,14:30,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-11,15:30,90,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-12,09:00,60,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-12,10:00,60,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-12,11:00,90,Therapy Session,Available
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-12,12:30,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-12,13:30,60,Initial Evaluation,Cancelled
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-12,14:30,90,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-12,16:00,90,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-13,09:00,90,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-13,10:30,60,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-13,11:30,90,Initial Evaluation,Available
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-13,13:00,60,Initial Evaluation,Cancelled
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-13,14:00,90,Initial Evaluation,Cancelled
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-13,15:30,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-14,09:00,90,Medication Review,Cancelled
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-14,10:30,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-14,12:00,90,Therapy Session,Cancelled
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-14,13:30,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-14,14:30,90,Initial Evaluation,Available
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-14,16:00,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-15,09:00,60,Medication Review,Available
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-15,10:00,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-15,11:30,90,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-15,13:00,60,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-15,14:00,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-15,15:00,90,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-15,16:30,90,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-18,09:00,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-18,10:00,60,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-18,11:00,60,Medication Review,Available
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-18,12:00,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-18,13:30,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-18,15:00,90,Medication Review,Available
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-18,16:30,90,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-19,09:00,90,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-19,10:30,90,Therapy Session,Cancelled
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-19,12:00,60,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-19,14:00,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-19,15:00,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-19,16:00,90,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-20,10:30,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-20,12:00,90,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-20,13:30,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-20,14:30,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-21,09:00,60,Medication Review,Available
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-21,11:00,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-21,12:00,60,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-21,13:00,60,Medication Review,Cancelled
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-21,15:00,90,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-21,16:30,60,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-22,09:00,60,Medication Review,Cancelled
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-22,10:00,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-22,11:00,60,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-22,12:00,90,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-22,13:30,90,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-22,15:00,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-22,16:00,90,Initial Evaluation,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-25,09:00,60,Medication Review,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-25,10:00,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-25,11:30,90,Medication Review,Cancelled
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-25,13:00,60,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-25,14:00,90,Therapy Session,Booked
DOC0003,Tyler,Garcia,Psychiatrist,2025-08-26,09:00,60,Medication Review,Available
